EXPERIMENT_ID,DESTINATION_BUCKET,ELIGIBLE_FILE_COUNT
EXP-016,00_CONTROL,47
EXP-016,01_PROTOCOL,6
EXP-016,02_INPUTS,49
EXP-016,03_RUNNER,11
EXP-016,04_RAW,2179
EXP-016,05_OUTPUTS,6
EXP-016,06_DIAGNOSTIC,21
EXP-016,07_ADJUDICATION,14
EXP-016,08_PACKAGE,1
EXP-016,09_FREEZE,22
EXP-016,UNCLASSIFIED,45
