comparison,mean_difference,CI95_low,CI95_high,equivalence_margin,EQUIVALENT
A100_vs_S1_SURFACE_PARAPHRASE,0.384375,0.146875,0.625,0.35,False
A100_vs_S2_SURFACE_PARAPHRASE,0.628125,0.3875,0.875,0.35,False
A100_vs_S3_SURFACE_PARAPHRASE,1.7375,1.540625,1.9375,0.35,False
