MATCH,FILE_NAME,FULL_PATH,SIZE_BYTES
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip,C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,518003991
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt,C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt,431
(?i)BR2,C_RSOS_FULL_INVENTORY.csv,C:\RSOS\BR2_DIRECTORY_INVENTORY\C_RSOS_FULL_INVENTORY.csv,129071
(?i)BR2,DOCUMENTS_RSOS_FULL_INVENTORY.csv,C:\RSOS\BR2_DIRECTORY_INVENTORY\DOCUMENTS_RSOS_FULL_INVENTORY.csv,410903
(?i)FINAL_COMPLETE|(?i)COMPLETE_LOCAL,F1_FINAL_COMPLETE_LOCAL.zip,C:\RSOS\H1_INPUTS\F1_FINAL_COMPLETE_LOCAL.zip,518003991
(?i)BR2,F1_BR2_V2_EXACT_EXTRACTOR_RUNNER.zip,C:\RSOS\Training data\F1_BR2_V2_EXACT_EXTRACTOR_RUNNER.zip,11238
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip,807452
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE_SHA256.txt,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE_SHA256.txt,129
(?i)BR2|(?i)DETERMINISTIC.*REFREEZE,F2_BR2_DETERMINISTIC_REFREEZE_RUNNER.zip,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER.zip,453932
(?i)BR2,F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER.zip,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER.zip,43260572
(?i)CORRECTED,F2_B_CORRECTED_EXTERNAL_RARITY_RESULTS.zip,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY_RESULTS.zip,84942
(?i)FREEZE_RECORD,00_V12_FREEZE_RECORD.txt,C:\RSOS\V12_FINAL_FREEZE\00_V12_FREEZE_RECORD.txt,969
(?i)FINAL_SUMMARY,12_FINAL_SUMMARY.json,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_PATHWAY_ATTRACTOR_V4_FULL\12_FINAL_SUMMARY.json,10560
