EXPERIMENT_ID,SOURCE_CLUSTER,ELIGIBLE_FILE_COUNT
EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,55
EXP-011,C:\RSOS\RSOS_TRAINING_DATA_V12_V18_COMPARISON\04_F2_V15_V16_LINEAGE_RARITY,1
