SCENARIO,TOTAL_SEEDS,DEV_SEEDS,CONFIRMATION_SEEDS,FINAL_HOLDOUT_SEEDS
S2A_GROUP_COMPLETE,76,38,19,19
S2B_SEED_COMPLETE,65,34,15,16
