source,N,mean_kernel_edges,median_kernel_edges,max_kernel_edges,mean_kernel_fraction,records_4plus_edges,records_5plus_edges,records_6plus_edges,records_full_7_edges
DYNAMICS_RARE,6,1.6666666666666667,1.5,3,0.23809523809523808,0,0,0,0
DYNAMICS_REDISCOVERY,104,1.6923076923076923,2.0,3,0.24175824175824173,0,0,0,0
DYNAMICS_TOP100,100,6.36,7.0,7,0.9085714285714286,99,99,69,69
F3_FEATURES,30,0.26666666666666666,0.0,2,0.03809523809523809,0,0,0,0
F3_RARE,50,4.84,5.0,5,0.6914285714285714,47,47,0,0
W_TOP50,50,0,0.0,0,0.0,0,0,0,0
Z2_PROVENANCE,20,0,0.0,0,0.0,0,0,0,0
