LANGUAGE,N
English,3724
Russian,858
Spanish,357
Korean,275
French,263
Portuguese,244
Persian,189
Hebrew,175
Chinese,153
German,90
Italian,89
Indonesian,65
Arabic,60
Turkish,50
Japanese,28
Hungarian,27
Vietnamese,27
Polish,16
Thai,12
Romanian,8
Croatian,8
Bulgarian,7
Mongolian,5
Swedish,5
Malay,4
Ukrainian,4
Bengali,3
Dutch,3
Tagalog,3
Hindi,2
Yoruba,2
Catalan,1
Czech,1
Maori,1
Ganda,1
Greek,1
Finnish,1
Estonian,1
Shona,1
Marathi,1
