group,N,mean_edges,median_edges,max_edges,ge4,ge4_rate,ge5,ge5_rate,ge6,ge6_rate,full7,full7_rate
RSOS_MATCHED_RANDOM,5000,0.0272,0.0,3,0,0.0,0,0.0,0,0.0,0,0.0
RSOS_TOP100,100,1.3,1.0,4,1,0.01,0,0.0,0,0.0,0,0.0
EXTERNAL_MATCHED_RANDOM,5000,0.0122,0.0,2,0,0.0,0,0.0,0,0.0,0,0.0
EXTERNAL_HARD_NEGATIVE,500,1.296,1.0,4,2,0.004,0,0.0,0,0.0,0,0.0
