group_A,group_B,threshold,A_hits,A_N,A_rate,B_hits,B_N,B_rate,risk_ratio,odds_ratio_HA,fisher_exact_p
RSOS_MATCHED_RANDOM,EXTERNAL_MATCHED_RANDOM,>=4/7,0,5000,0.0,0,5000,0.0,,1.0,1.0
RSOS_MATCHED_RANDOM,EXTERNAL_MATCHED_RANDOM,>=5/7,0,5000,0.0,0,5000,0.0,,1.0,1.0
RSOS_MATCHED_RANDOM,EXTERNAL_MATCHED_RANDOM,>=6/7,0,5000,0.0,0,5000,0.0,,1.0,1.0
RSOS_MATCHED_RANDOM,EXTERNAL_MATCHED_RANDOM,>=7/7,0,5000,0.0,0,5000,0.0,,1.0,1.0
RSOS_TOP100,EXTERNAL_HARD_NEGATIVE,>=4/7,1,100,0.01,2,500,0.004,2.5,3.006030150753769,0.4218764831016045
RSOS_TOP100,EXTERNAL_HARD_NEGATIVE,>=5/7,0,100,0.0,0,500,0.0,,4.980099502487562,1.0
RSOS_TOP100,EXTERNAL_HARD_NEGATIVE,>=6/7,0,100,0.0,0,500,0.0,,4.980099502487562,1.0
RSOS_TOP100,EXTERNAL_HARD_NEGATIVE,>=7/7,0,100,0.0,0,500,0.0,,4.980099502487562,1.0
