MODEL,REFERENCE,LINEAGE_THRESHOLD,N_EXTERNAL,N_EXTERNAL_GE_THRESHOLD,EXTERNAL_TAIL_FRACTION,TAIL_95CI_LOW,TAIL_95CI_HIGH,EMPIRICAL_ONE_IN,LINEAGE_REFERENCE_EXTERNAL_PERCENTILE
SURFACE_FREE,MEDIAN,0.9943452946230028,6765,2341,0.3460458240946046,0.3347044160732409,0.357520073879389,2.889790687740282,65.39541759053954
SURFACE_FREE,Q75,0.9994784537368896,6765,2000,0.29563932002956395,0.2847812898391805,0.3066737497773047,3.3825,70.43606799704361
SURFACE_FREE,Q90,0.9999006524555474,6765,1803,0.2665188470066519,0.25601144428763034,0.2772278427969034,3.7520798668885194,73.34811529933481
SURFACE_FREE,MAX,1.0,6765,123,0.01818181818181818,0.015133079639550543,0.0216552690615685,55.0,98.18181818181819
R1_COMPATIBLE,MEDIAN,0.9955470218670169,6765,3372,0.4984478935698448,0.48646214386223474,0.5104349819825877,2.0062277580071175,50.155210643015515
R1_COMPATIBLE,Q75,0.9996146410113524,6765,2659,0.39305247597930526,0.38138777392037837,0.4048094389110429,2.5441895449417076,60.694752402069476
R1_COMPATIBLE,Q90,0.9999685862252348,6765,2048,0.30273466371027347,0.291799443039813,0.3138401491656908,3.30322265625,69.72653362897265
R1_COMPATIBLE,MAX,0.9999999999821603,6765,479,0.07080561714708056,0.0648054497782848,0.07717880750138471,14.123173277661795,92.91943828529195
