contrast,condition_A,condition_B,N_PAIRED_SEEDS,mean_A,mean_B,mean_difference_A_minus_B,paired_permutation_p_greater,wilcoxon_statistic,wilcoxon_p_greater,GATE_PASS
TOPOLOGY,A100_AUTHENTIC_FULL_PREFIX,B_TOPOLOGY_SHUFFLED,40,1.2583333333333333,0.8833333333333332,0.3750000000000001,0.0008399832003359933,395.5,0.00188102996273758,True
ORDER,A100_AUTHENTIC_FULL_PREFIX,C_ORDER_SHUFFLED,40,1.2583333333333333,0.85,0.4083333333333334,0.0012199756004879902,519.0,0.00040396579569031404,True
DIRECTION,A100_AUTHENTIC_FULL_PREFIX,D_DIRECTION_REVERSED,40,1.2583333333333333,0.5166666666666666,0.7416666666666668,1.999960000799984e-05,609.0,6.721657086902661e-07,True
META_CONTROL_DAMAGE,A100_AUTHENTIC_FULL_PREFIX,E_META_CONTROL_ABLATED,40,1.2583333333333333,0.725,0.5333333333333334,1.999960000799984e-05,527.5,4.071972976388685e-05,True
PRESERVATION_DAMAGE,A100_AUTHENTIC_FULL_PREFIX,F_PRESERVATION_ABLATED,40,1.2583333333333333,0.4916666666666666,0.7666666666666667,1.999960000799984e-05,638.0,7.792041739333542e-07,True
PERTURBATION_RECOVERY,H_AUTHENTIC_PERTURBED,I_SHUFFLED_PERTURBED,40,0.21666666666666665,0.4,-0.18333333333333332,0.9693606127877442,127.5,0.959755527363983,False
RECURSION_SPECIFICITY,A100_AUTHENTIC_FULL_PREFIX,J_RECURSION_CONTROL,40,1.2583333333333333,0.13333333333333333,1.125,1.999960000799984e-05,776.5,3.2559835842791495e-08,True
COMPLEXITY_SPECIFICITY,A100_AUTHENTIC_FULL_PREFIX,K_COMPLEXITY_CONTROL,40,1.2583333333333333,0.6916666666666667,0.5666666666666667,5.999880002399952e-05,588.0,2.9675722598734605e-05,True
COUNTERFACTUAL_SPECIFICITY,A100_AUTHENTIC_FULL_PREFIX,L_COUNTERFACTUAL_PATH,40,1.2583333333333333,0.8916666666666668,0.3666666666666667,0.00373992520149597,499.0,0.004489173061856032,True
