seed,condition,RETURN,OPERATIONAL_REENTRY,NEXT_TRANSFORMATION,RECURRENCE,PRESERVATION,META_CONTROL,FULL_PATHWAY,PATHWAY_SCORE
6,L_COUNTERFACTUAL_PATH,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
7,A100_AUTHENTIC_FULL_PREFIX,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666
7,A25_AUTHENTIC_DOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A50_AUTHENTIC_DOSE,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0
7,A75_AUTHENTIC_DOSE,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0
7,B_TOPOLOGY_SHUFFLED,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.6666666666666667
7,C_ORDER_SHUFFLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,D_DIRECTION_REVERSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,E_META_CONTROL_ABLATED,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
7,F_PRESERVATION_ABLATED,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
7,G_SURFACE_SUBSTITUTED,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
7,H_AUTHENTIC_PERTURBED,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
7,I_SHUFFLED_PERTURBED,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
7,J_RECURSION_CONTROL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,K_COMPLEXITY_CONTROL,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0
7,L_COUNTERFACTUAL_PATH,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,1.6666666666666667
8,A100_AUTHENTIC_FULL_PREFIX,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,2.0
8,A25_AUTHENTIC_DOSE,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666
8,A50_AUTHENTIC_DOSE,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
8,A75_AUTHENTIC_DOSE,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0
8,B_TOPOLOGY_SHUFFLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C_ORDER_SHUFFLED,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
8,D_DIRECTION_REVERSED,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0
8,E_META_CONTROL_ABLATED,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
8,F_PRESERVATION_ABLATED,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
8,G_SURFACE_SUBSTITUTED,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0
8,H_AUTHENTIC_PERTURBED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,I_SHUFFLED_PERTURBED,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,2.0
8,J_RECURSION_CONTROL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,K_COMPLEXITY_CONTROL,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
8,L_COUNTERFACTUAL_PATH,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
9,A100_AUTHENTIC_FULL_PREFIX,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,1.6666666666666667
9,A25_AUTHENTIC_DOSE,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
9,A50_AUTHENTIC_DOSE,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
9,A75_AUTHENTIC_DOSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,B_TOPOLOGY_SHUFFLED,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
9,C_ORDER_SHUFFLED,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
9,D_DIRECTION_REVERSED,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
