factor,balanced_accuracy,chance_reference
DIRECTION,0.9437500000000001,0.5
ORDER,0.5125,0.5
META_CONTROL,0.9654973649538867,0.5
PRESERVATION,0.8087819743281929,0.5
TERMINAL,0.575,0.5
