interaction,development_coefficient,development_holm_p,final_coefficient,final_holm_p,same_sign,REPLICATED
DIRECTION_X_ORDER,-0.17042514176779622,0.744345113097738,-0.12507508221671526,1.0,True,False
DIRECTION_X_META_CONTROL,0.3042270857254945,0.1740565188696226,0.26713127260037123,0.5315893682126358,True,False
DIRECTION_X_PRESERVATION,-0.038281238570963584,1.0,0.004163905100368195,1.0,False,False
DIRECTION_X_TERMINAL,0.05615068640148781,1.0,0.0825862181344327,1.0,True,False
ORDER_X_META_CONTROL,-0.33237461689620157,0.003599928001439971,-0.21826659594774495,1.0,True,False
ORDER_X_PRESERVATION,-0.053374902794651534,1.0,0.09014165913204274,1.0,False,False
ORDER_X_TERMINAL,0.15242576667931002,0.6243875122497551,-0.0638917538424817,1.0,False,False
META_CONTROL_X_PRESERVATION,0.2864389239931599,0.31823363532729343,0.22890875249128437,0.6530269394612108,True,False
META_CONTROL_X_TERMINAL,-0.03449836686181168,1.0,-0.1804787526077045,1.0,True,False
PRESERVATION_X_TERMINAL,-0.11549812677990927,1.0,0.009641475954320012,1.0,False,False
