MODEL,N_LINEAGE,N_EXTERNAL,AUC_LINEAGE_GT_EXTERNAL,CI95_LOW,CI95_HIGH,MANN_WHITNEY_ONE_SIDED_P
SURFACE_FREE,137,6765,0.6432814885547662,0.6245388727941692,0.6634620551248644,4.431613405155229e-09
R1_COMPATIBLE,137,6765,0.48232691882326917,0.45207735176223696,0.5124509200964604,0.76096603865077
