EXPERIMENT_ID,SOURCE_CLUSTER,ELIGIBLE_FILE_COUNT
EXP-006,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE,16
EXP-006,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED,16
EXP-006,C:\RSOS\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE.py,1
