PARTITION,FAMILY,EDGE,CONDITION,N,EXCESS_DISTANCE,P,SWITCH_LINKED,HOLM_P,PASS
ALL,DELETE,0,E0_DELETE,65,6.166560249654337,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,1,E1_DELETE,65,10.227697220056424,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,2,E2_DELETE,65,18.100316615767944,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,3,E3_DELETE,65,18.971606601952196,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,4,E4_DELETE,65,18.83475858450586,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,5,E5_DELETE,65,8.438989822947592,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,6,E6_DELETE,65,7.434790057059795,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,7,E7_DELETE,65,25.795300067704332,4.999750012499375e-05,True,0.0004999750012499375,True
ALL,DELETE,8,E8_DELETE,65,5.471496562415728,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,9,E9_DELETE,65,10.41083858931315,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,0,E0_REVERSE,65,7.912038123183113,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,1,E1_REVERSE,65,9.246131593008501,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,2,E2_REVERSE,65,16.05678297593863,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,3,E3_REVERSE,65,19.380620974051475,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,4,E4_REVERSE,65,21.54592108351166,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,5,E5_REVERSE,65,8.567867571405724,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,6,E6_REVERSE,65,10.698839132656767,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,7,E7_REVERSE,65,23.1138855276752,4.999750012499375e-05,True,0.0004999750012499375,True
ALL,REVERSE,8,E8_REVERSE,65,1.0966922823074932,0.0020998950052497373,False,0.0020998950052497373,True
ALL,REVERSE,9,E9_REVERSE,65,28.245770350868963,4.999750012499375e-05,True,0.0004999750012499375,True
DEVELOPMENT,DELETE,0,E0_DELETE,34,6.64292566482682,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,1,E1_DELETE,34,10.65056320943701,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,2,E2_DELETE,34,18.5042488776183,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,3,E3_DELETE,34,19.21368510602953,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,4,E4_DELETE,34,18.63914056880479,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,5,E5_DELETE,34,8.473079679301684,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,6,E6_DELETE,34,7.61891365672598,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,7,E7_DELETE,34,24.251307416526014,4.999750012499375e-05,True,0.0004999750012499375,True
DEVELOPMENT,DELETE,8,E8_DELETE,34,5.6451612799387645,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,9,E9_DELETE,34,10.467715095525012,4.999750012499375e-05,False,0.0004999750012499375,True
