SEED,CONDITION,PROMPT_CHARS,EDGE_COUNT,SCC_COUNT,LARGEST_SCC,RECIPROCITY,TRANSITIVITY,IN_DEGREE_SD,OUT_DEGREE_SD
0,A_AUTHENTIC,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,I_ISOMORPHIC_RELABEL,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,D_DIRECTION_REVERSED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,O_ORDER_SHUFFLED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,M_SWITCH_NEUTRALIZED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,P_ANCHOR_REASSIGNED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,T_TERMINAL_CHANGED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,R_DEGREE_MATCHED_REWIRE,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
0,X_COMPLEXITY_MATCHED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.82915619758885
0,L_FORWARD_CONTROL,1046,10,8,1,0.0,0.17647058823529413,0.6614378277661477,0.6614378277661477
0,G_RANDOM_CONTROL,1046,10,5,4,0.2,0.23076923076923078,0.6614378277661477,0.82915619758885
0,S_SURFACE_FORMAT_CONTROL,1440,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,A_AUTHENTIC,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,I_ISOMORPHIC_RELABEL,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,D_DIRECTION_REVERSED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,O_ORDER_SHUFFLED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,M_SWITCH_NEUTRALIZED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,P_ANCHOR_REASSIGNED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,T_TERMINAL_CHANGED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
1,R_DEGREE_MATCHED_REWIRE,1046,10,3,6,0.0,0.3157894736842105,0.6614378277661477,0.6614378277661477
1,X_COMPLEXITY_MATCHED,1046,10,3,6,0.0,0.16666666666666666,0.6614378277661477,0.82915619758885
1,L_FORWARD_CONTROL,1046,10,8,1,0.0,0.17647058823529413,0.6614378277661477,0.6614378277661477
1,G_RANDOM_CONTROL,1046,10,5,4,0.2,0.3,1.0897247358851685,0.82915619758885
1,S_SURFACE_FORMAT_CONTROL,1440,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,A_AUTHENTIC,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,I_ISOMORPHIC_RELABEL,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,D_DIRECTION_REVERSED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,O_ORDER_SHUFFLED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,M_SWITCH_NEUTRALIZED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,P_ANCHOR_REASSIGNED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
2,T_TERMINAL_CHANGED,1046,10,3,6,0.0,0.15789473684210525,0.6614378277661477,0.6614378277661477
