metric,complete_pairs,auc,auc_ci_low,auc_ci_high,mean_paired_delta,median_paired_delta,p_greater,p_less,provider,condition
JOINT_MULTILAYER_V2_MARGIN,40,0.60125,0.47554687500000004,0.718765625,0.2626153306682758,0.5270551952189395,0.07304447402020742,0.9288257402095041,OPENAI,BASELINE
OPERATOR_RELATIONAL_V2_MARGIN,40,0.465625,0.33935937499999996,0.59375,-0.6429314624806973,-0.7654288588609681,0.6125023826898541,0.3926017246240008,OPENAI,BASELINE
SURFACE_FREE_MARGIN,40,0.556875,0.430625,0.68375,0.6593794247737377,0.37074778847809386,0.32794964496406465,0.6768481890758267,OPENAI,BASELINE
R1_COMPATIBLE_MARGIN,40,0.576875,0.45309375,0.699375,0.3867083647105078,0.4253914305744179,0.4340167015197949,0.5712088319178292,OPENAI,BASELINE
WINDOW8_MARGIN,40,0.58625,0.455625,0.716890625,1.0227172402796871,0.6228268553054155,0.08294982236930082,0.9191062640966265,OPENAI,BASELINE
WINDOW12_MARGIN,40,0.611875,0.481875,0.7362656249999999,0.2951038278033758,0.38225292993463283,0.04085691561522253,0.9603352833082681,OPENAI,BASELINE
JOINT_MULTILAYER_V2_MARGIN,40,0.60125,0.4775,0.725,0.2626153306682758,0.5270551952189395,0.07304447402020742,0.9288257402095041,OPENAI,SURFACE_TERM_REDACT
OPERATOR_RELATIONAL_V2_MARGIN,40,0.465625,0.339375,0.59375,-0.6429314624806973,-0.7654288588609681,0.6125023826898541,0.3926017246240008,OPENAI,SURFACE_TERM_REDACT
SURFACE_FREE_MARGIN,40,0.556875,0.42125,0.6750312499999999,0.6593794247737377,0.37074778847809386,0.32794964496406465,0.6768481890758267,OPENAI,SURFACE_TERM_REDACT
R1_COMPATIBLE_MARGIN,40,0.576875,0.447484375,0.6994062499999998,0.3867083647105078,0.4253914305744179,0.4340167015197949,0.5712088319178292,OPENAI,SURFACE_TERM_REDACT
WINDOW8_MARGIN,40,0.58625,0.455625,0.711265625,1.0227172402796871,0.6228268553054155,0.08294982236930082,0.9191062640966265,OPENAI,SURFACE_TERM_REDACT
WINDOW12_MARGIN,40,0.611875,0.49375,0.7306562499999998,0.2951038278033758,0.38225292993463283,0.04085691561522253,0.9603352833082681,OPENAI,SURFACE_TERM_REDACT
JOINT_MULTILAYER_V2_MARGIN,40,0.605,0.471875,0.729390625,0.2560660961577604,0.2530852803389875,0.09609797522443841,0.9061914593739857,OPENAI,SURFACE_MARKDOWN_FLATTEN
OPERATOR_RELATIONAL_V2_MARGIN,40,0.480625,0.348125,0.613765625,-0.4624526266808511,0.10591731714957398,0.6022760417190511,0.40286349197413074,OPENAI,SURFACE_MARKDOWN_FLATTEN
SURFACE_FREE_MARGIN,40,0.5425,0.40621875,0.6650312499999999,0.3481377505009663,0.24876251733215105,0.3523438371539669,0.6525866642286928,OPENAI,SURFACE_MARKDOWN_FLATTEN
R1_COMPATIBLE_MARGIN,40,0.52875,0.390578125,0.65625,-0.2714799922915995,0.04874133466459879,0.5712088319178292,0.4340167015197949,OPENAI,SURFACE_MARKDOWN_FLATTEN
WINDOW8_MARGIN,40,0.58125,0.44373437499999996,0.703140625,1.044080896459787,0.10922573756078324,0.09380854062601429,0.9084412908559898,OPENAI,SURFACE_MARKDOWN_FLATTEN
WINDOW12_MARGIN,40,0.605625,0.47498437499999996,0.7262656249999999,0.28948355532722536,0.407926147809542,0.05144533520160621,0.9499842735995117,OPENAI,SURFACE_MARKDOWN_FLATTEN
JOINT_MULTILAYER_V2_MARGIN,40,0.561875,0.4325,0.69125,0.1077530659463584,0.23082284325144375,0.18410008471528272,0.819448006109269,OPENAI,SURFACE_CASE_PUNCT_NORMALIZED
OPERATOR_RELATIONAL_V2_MARGIN,40,0.47625,0.348125,0.6075,-0.5049240915798996,-0.011406672511131255,0.5919805091170929,0.4131911122458405,OPENAI,SURFACE_CASE_PUNCT_NORMALIZED
