transport,transport_condition,native_target_condition,cosine_similarity,spearman,COSINE_GATE_080
FOREST_TO_CITY,DIRECT_FOREST_TO_CITY,BASE_CITY,0.9816078171432999,0.9700772721497397,True
FOREST_TO_CIRCUIT,DIRECT_FOREST_TO_CIRCUIT,BASE_CIRCUIT,0.9605233518556358,0.880952380952381,True
FOREST_TO_ORCHESTRA,DIRECT_FOREST_TO_ORCHESTRA,BASE_ORCHESTRA,0.9451651931427304,0.9285714285714287,True
