FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\03_CANDIDATE_MEASURE_COUNTS.csv,03_CANDIDATE_MEASURE_COUNTS.csv,.csv,1240,2026-09-12T16:36:40.8102551Z,2026-09-12T16:36:40.8102551Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\04_CLAIM_FAMILY_PAIR_LIFT.csv,04_CLAIM_FAMILY_PAIR_LIFT.csv,.csv,66378,2026-09-12T16:36:41.0362000Z,2026-09-12T16:36:41.0431425Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\05_MESSAGE_STRUCTURAL_FEATURES.csv,05_MESSAGE_STRUCTURAL_FEATURES.csv,.csv,31131840,2026-09-12T16:45:53.5484502Z,2026-09-12T16:45:56.8887198Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\06_CONVERSATION_STRUCTURAL_DYNAMIC_FEATURES.csv,06_CONVERSATION_STRUCTURAL_DYNAMIC_FEATURES.csv,.csv,1911595,2026-09-12T16:49:12.3550356Z,2026-09-12T16:49:12.5678652Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\07_USER_TO_ASSISTANT_TRANSITIONS.csv,07_USER_TO_ASSISTANT_TRANSITIONS.csv,.csv,21165,2026-09-12T16:49:12.5718631Z,2026-09-12T16:49:12.5738614Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\08_DOMINANT_STATE_TRANSITION_GRAPH.csv,08_DOMINANT_STATE_TRANSITION_GRAPH.csv,.csv,23488,2026-09-12T16:49:12.5768606Z,2026-09-12T16:49:12.5798584Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\09_MONTHLY_TRAJECTORIES.csv,09_MONTHLY_TRAJECTORIES.csv,.csv,127687,2026-09-12T16:49:12.7141671Z,2026-09-12T16:49:12.7313208Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\10_DISCOVERY_FEATURE_EFFECTS.csv,10_DISCOVERY_FEATURE_EFFECTS.csv,.csv,26471,2026-09-12T16:49:12.9390144Z,2026-09-12T16:49:12.9410336Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\11_CANDIDATE_MEASURE_CONJUNCTIONS.csv,11_CANDIDATE_MEASURE_CONJUNCTIONS.csv,.csv,385,2026-09-12T16:49:13.4786692Z,2026-09-12T16:49:13.4796686Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\12_TOP50_DISCOVERY_FEATURES.csv,12_TOP50_DISCOVERY_FEATURES.csv,.csv,7045,2026-09-12T16:49:13.4816682Z,2026-09-12T16:49:13.4826675Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\99_DISCOVERY_FREEZE.json,99_DISCOVERY_FREEZE.json,.json,608,2026-09-12T16:49:14.7815324Z,2026-09-12T16:49:14.7821191Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\99_OUTPUT_SHA256.csv,99_OUTPUT_SHA256.csv,.csv,1474,2026-09-12T16:49:13.7250415Z,2026-09-12T16:49:13.7250415Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,.py,23894,2026-09-12T16:31:07.4144360Z,2026-09-12T16:31:08.1804808Z,RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,03_RUNNER,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
