MODEL,N
gpt-3.5-turbo-0613,9427
gpt-4o-mini-2024-07-18,5257
gpt-4o-2024-08-06,4797
gpt-4o-2024-05-13,4363
gpt-4-turbo-2024-04-09,2405
gpt-3.5-turbo-0125,1437
gpt-4o-2024-11-20,1407
