EXPERIMENT_ID,DESTINATION_BUCKET,ELIGIBLE_FILE_COUNT
EXP-012,00_CONTROL,10
EXP-012,02_INPUTS,1
EXP-012,03_RUNNER,6
EXP-012,05_OUTPUTS,49
EXP-012,06_DIAGNOSTIC,6
EXP-012,07_ADJUDICATION,2
EXP-012,08_PACKAGE,1
EXP-012,09_FREEZE,29
EXP-012,UNCLASSIFIED,137
