FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\01_EXTERNAL_FEATURES\F2_B_EXTERNAL_FEATURES_AND_SCORES.parquet,F2_B_EXTERNAL_FEATURES_AND_SCORES.parquet,.parquet,15325419,2026-09-12T00:30:38.5154836Z,2026-09-12T00:30:38.9352404Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\02_PRIMARY\SEPARATION_RESULTS.csv,SEPARATION_RESULTS.csv,.csv,2420,2026-09-12T00:30:46.3779108Z,2026-09-12T00:30:46.3799086Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\03_GEOMETRY\RARITY_AND_TOLERANCE_RESULTS.csv,RARITY_AND_TOLERANCE_RESULTS.csv,.csv,9570,2026-09-12T00:30:46.3820575Z,2026-09-12T00:30:46.3830559Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\04_WINDOWS\WINDOW_EXTERNAL_RARITY.csv,WINDOW_EXTERNAL_RARITY.csv,.csv,3074,2026-09-12T00:30:47.5222654Z,2026-09-12T00:30:47.5243717Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\CEM_BALANCE.csv,CEM_BALANCE.csv,.csv,128,2026-09-12T00:30:47.6006163Z,2026-09-12T00:30:47.6006163Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\CEM_RESULT.csv,CEM_RESULT.csv,.csv,223,2026-09-12T00:30:47.7126878Z,2026-09-12T00:30:47.7136882Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\CLUSTER_DIAGNOSTIC.json,CLUSTER_DIAGNOSTIC.json,.json,87,2026-09-12T00:30:47.8026368Z,2026-09-12T00:30:47.8026368Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,06_DIAGNOSTIC,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\LANGUAGE_DISTRIBUTION.csv,LANGUAGE_DISTRIBUTION.csv,.csv,672,2026-09-12T00:30:47.7236808Z,2026-09-12T00:30:47.7246803Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\MODEL_DISTRIBUTION.csv,MODEL_DISTRIBUTION.csv,.csv,189,2026-09-12T00:30:47.7186865Z,2026-09-12T00:30:47.7196827Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\05_NUISANCE\MODEL_LANGUAGE_STRATA_90TOL.csv,MODEL_LANGUAGE_STRATA_90TOL.csv,.csv,1729,2026-09-12T00:30:47.7946397Z,2026-09-12T00:30:47.7956402Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\06_NEAREST\NEAREST250_MAHALANOBIS.csv,NEAREST250_MAHALANOBIS.csv,.csv,68818,2026-09-12T00:30:46.3880534Z,2026-09-12T00:30:46.3930507Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\06_NEAREST\NEAREST250_STRICT_COMPOSITE.csv,NEAREST250_STRICT_COMPOSITE.csv,.csv,69140,2026-09-12T00:30:46.3980472Z,2026-09-12T00:30:46.4030446Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\07_AUDIT\F2_B_SUMMARY.json,F2_B_SUMMARY.json,.json,2080,2026-09-12T00:30:47.8216242Z,2026-09-12T00:30:47.8216242Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
