source_family,artifact_classes,score,size_bytes,modified_utc,content_terms,path
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,19,61539,2026-09-11T19:57:25.519726+00:00,feature|threshold|holdout|matched|surface|operator|adjudication,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\COMPLETE_CURRENT_OUTPUT_SHA256.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,19,61539,2026-09-11T20:08:23.725238+00:00,feature|threshold|holdout|matched|surface|operator|adjudication,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\COMPLETE_CURRENT_OUTPUT_SHA256.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,19,26026,2026-09-11T20:12:20.190747+00:00,feature|threshold|holdout|matched|surface|operator|provider,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\V2_OUTPUT_SHA256_MANIFEST.csv
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,19,61539,2026-09-11T19:57:25.519726+00:00,feature|threshold|holdout|matched|surface|operator|adjudication,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\COMPLETE_CURRENT_OUTPUT_SHA256.csv
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,19,61539,2026-09-11T20:08:23.725238+00:00,feature|threshold|holdout|matched|surface|operator|adjudication,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\00_MANIFEST\COMPLETE_CURRENT_OUTPUT_SHA256.csv
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,19,26026,2026-09-11T20:12:20.190747+00:00,feature|threshold|holdout|matched|surface|operator|provider,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_MANIFEST\V2_OUTPUT_SHA256_MANIFEST.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,18,7796,2026-09-11T19:57:43.063327+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\PACKAGE_SHA256_MANIFEST.csv
F1,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,18,7796,2026-09-11T20:08:23.811721+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\11_V2_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\PACKAGE_SHA256_MANIFEST.csv
F1,FEATURE_CONTRACT|MATCHED_SOURCE_SUBSET|CONTROL_SUBSET,18,23860,2026-09-11T17:04:22+00:00,feature|holdout|matched|surface|operator|provider,C:\RSOS\Training data\F1_BR2_LMARENA_MATCHED_CONTROL\RUN_F1_BR2_V2_EXACT_EXTRACTOR.py
F1|F2,MATCHED_SOURCE_SUBSET|CONTROL_SUBSET|FREEZE_OR_MANIFEST,18,7796,2026-09-11T19:57:43.063327+00:00,feature|threshold|holdout|matched|surface|operator,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY\01_CANONICAL_INPUTS\F1_BR2_LMARENA_MATCHED_CONTROL\01_BR1_FROZEN\F1_BR1_RESULTS_PACKAGE\PACKAGE_SHA256_MANIFEST.csv
