PARTITION,FAMILY,EDGE,CONDITION,N,EXCESS_DISTANCE,P,SWITCH_LINKED,HOLM_P,PASS
ALL,DELETE,0,E0_DELETE,76,6.436281006552053,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,1,E1_DELETE,76,10.618636742949517,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,2,E2_DELETE,76,18.714438881713036,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,3,E3_DELETE,76,19.376980150974838,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,4,E4_DELETE,76,19.39949760866053,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,5,E5_DELETE,76,8.816903038019968,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,6,E6_DELETE,76,7.649055587694354,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,7,E7_DELETE,76,25.26886053576662,4.999750012499375e-05,True,0.0004999750012499375,True
ALL,DELETE,8,E8_DELETE,76,5.678565821518131,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,DELETE,9,E9_DELETE,76,10.966344572907351,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,0,E0_REVERSE,76,8.094065495952998,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,1,E1_REVERSE,76,9.519325577353465,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,2,E2_REVERSE,76,16.3242466370689,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,3,E3_REVERSE,76,19.366234175900786,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,4,E4_REVERSE,76,22.011781137972324,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,5,E5_REVERSE,76,9.156982313337332,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,6,E6_REVERSE,76,10.992645063260648,4.999750012499375e-05,False,0.0004999750012499375,True
ALL,REVERSE,7,E7_REVERSE,76,23.070545790244058,4.999750012499375e-05,True,0.0004999750012499375,True
ALL,REVERSE,8,E8_REVERSE,76,1.1600562247600292,0.000199990000499975,False,0.0004999750012499375,True
ALL,REVERSE,9,E9_REVERSE,76,27.029954425210533,4.999750012499375e-05,True,0.0004999750012499375,True
DEVELOPMENT,DELETE,0,E0_DELETE,38,6.868197391895318,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,1,E1_DELETE,38,10.897348954784247,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,2,E2_DELETE,38,18.869483236513428,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,3,E3_DELETE,38,19.337055102600907,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,4,E4_DELETE,38,18.85730437799953,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,5,E5_DELETE,38,8.61397355951523,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,6,E6_DELETE,38,7.624669825500423,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,7,E7_DELETE,38,24.08159945756824,4.999750012499375e-05,True,0.0004999750012499375,True
DEVELOPMENT,DELETE,8,E8_DELETE,38,5.7171709866383065,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,DELETE,9,E9_DELETE,38,10.893125297631167,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,0,E0_REVERSE,38,8.424263172412902,4.999750012499375e-05,False,0.0004999750012499375,True
DEVELOPMENT,REVERSE,1,E1_REVERSE,38,9.898858361638045,4.999750012499375e-05,False,0.0004999750012499375,True
