EXPERIMENT_ID,DESTINATION_BUCKET,ELIGIBLE_FILE_COUNT
EXP-002,02_INPUTS,2
EXP-002,04_RAW,6
EXP-002,05_OUTPUTS,9
EXP-002,09_FREEZE,10
EXP-002,UNCLASSIFIED,6
