MODEL,LINEAGE_CONVERSATION_ID,CEM_CELL,N_EXTERNAL_CELL,WITHIN_CELL_PAIRWIN
SURFACE_FREE,699b4071-432c-8394-8524-2cecca087caf,4|0|0,64,0.953125
SURFACE_FREE,699b4102-7498-8387-bea9-6fc4983dd5cf,5|2|0,104,0.9711538461538461
SURFACE_FREE,699c384b-93d8-8392-8821-690834cce9d3,3|2|0,333,0.7987987987987988
SURFACE_FREE,69aaf0e9-f31c-8394-bff4-8243bb4f1595,4|1|1,75,0.3333333333333333
SURFACE_FREE,69b241cf-b030-838c-b5f0-4d5b0f29afe6,7|7|1,9,0.3333333333333333
SURFACE_FREE,69b4da18-b5e8-8393-a726-f1e0e6893b54,8|7|1,7,0.0
SURFACE_FREE,69ba27b1-ac1c-8391-868b-3bcd85fca150,8|7|1,7,0.7142857142857143
SURFACE_FREE,69d1df31-7154-8396-8451-08d6eb5b458c,6|4|1,66,0.3333333333333333
SURFACE_FREE,69d3132e-93d0-838f-a1f3-1a95eff13c4c,6|5|0,26,1.0
SURFACE_FREE,69d65649-2ac0-8390-a8d3-9bd9208505ab,6|4|0,34,0.9705882352941176
SURFACE_FREE,69e121c1-acd8-8393-8efb-92d83e9ea6b9,7|6|1,35,0.14285714285714285
SURFACE_FREE,6a065893-97ac-838a-9e45-0291cf9b4414,7|5|0,6,0.8333333333333334
SURFACE_FREE,6a2489e9-b794-83eb-80dd-bb92841a63bb,3|2|0,333,0.7717717717717718
SURFACE_FREE,6a275b51-56e8-83eb-a153-17fc860f233a,6|6|1,13,0.3076923076923077
SURFACE_FREE,6a277af3-a960-83ed-81f4-c7bfa08e82bb,3|2|0,333,0.47147147147147145
R1_COMPATIBLE,68b5df00-83c8-832c-9208-ec73ca31cae7,6|6|1,13,0.07692307692307693
R1_COMPATIBLE,68c08ca8-2990-8331-927b-b07ae4895113,3|0|0,157,0.7770700636942676
R1_COMPATIBLE,68c2e64f-9d34-832a-81a1-d832f39f7e9f,7|7|1,9,0.1111111111111111
R1_COMPATIBLE,68c55edf-c99c-8320-929f-3c3a13528504,4|2|0,172,0.8023255813953488
R1_COMPATIBLE,68df59a6-65c8-832e-ab96-92a871261b4f,5|4|0,39,0.5641025641025641
R1_COMPATIBLE,68e098fa-7128-832c-bcb1-7188bf86c0ba,5|2|0,104,0.875
R1_COMPATIBLE,68eb0175-ca54-8332-8b00-b50b4a482dda,4|2|1,186,0.1989247311827957
R1_COMPATIBLE,68eb0f1c-b2ec-8326-a952-3a0498a3a005,6|5|1,48,0.3125
R1_COMPATIBLE,68fdcd42-b568-832d-8d33-e7f125fee15a,7|7|1,9,0.1111111111111111
R1_COMPATIBLE,68fded15-6b4c-832a-b923-7614a2675015,6|5|0,26,0.5
R1_COMPATIBLE,68ffd0df-bd20-832a-b88c-e3c77dafc495,8|7|1,7,0.0
R1_COMPATIBLE,6903826b-19f4-8328-951a-e4375d3ccb3c,7|6|1,35,0.2
R1_COMPATIBLE,6904e667-1b3c-8327-9b89-5954350136b1,7|6|1,35,0.2857142857142857
R1_COMPATIBLE,69077a30-9c80-832e-9b10-19486be65461,5|3|1,108,0.26851851851851855
R1_COMPATIBLE,690bf51f-3bd0-8330-8f23-f5c629620aae,6|4|0,34,0.8235294117647058
R1_COMPATIBLE,690fc165-d44c-8325-ac95-028d11fc01a4,5|3|0,81,0.6419753086419753
R1_COMPATIBLE,6910bd6e-2514-832f-adf2-21c464472e97,8|7|1,7,0.0
R1_COMPATIBLE,69154da7-8574-8331-97ef-9c9cbdf64420,6|4|0,34,1.0
R1_COMPATIBLE,691569e9-3cfc-8325-9406-0d68eb69e889,7|5|0,6,0.6666666666666666
R1_COMPATIBLE,6917b806-3574-8330-9cc0-36b41f804b7e,6|2|1,75,0.38666666666666666
R1_COMPATIBLE,6918199a-7e04-832d-9314-37fbe7cd92ff,6|5|0,26,0.8846153846153846
R1_COMPATIBLE,692091ca-ecb8-832f-a281-48442427ada4,7|4|0,9,0.8888888888888888
R1_COMPATIBLE,6925e053-ca9c-8326-a5b8-74e12c839569,7|5|0,6,0.8333333333333334
R1_COMPATIBLE,6927b12b-bfb8-8325-80c6-6add963de8be,7|4|0,9,0.7777777777777778
R1_COMPATIBLE,692babda-5438-8328-9643-61eac55f9b65,5|2|0,104,0.9423076923076923
R1_COMPATIBLE,692c182f-8848-8329-aa72-e1c484f0883d,7|5|0,6,0.8333333333333334
R1_COMPATIBLE,692f5d5a-5c6c-832f-afd8-7791e3ae7169,4|2|0,172,0.19767441860465115
R1_COMPATIBLE,692f808d-76ec-8331-b1ab-4e1eb2ad3360,6|5|0,26,0.9230769230769231
R1_COMPATIBLE,69305a19-e310-8325-9a5c-98c6d8fe99e6,8|7|1,7,0.8571428571428571
R1_COMPATIBLE,6932383e-a550-832e-a437-aeedb5883fbc,8|6|1,13,0.6923076923076923
R1_COMPATIBLE,69337a14-0af4-832d-a473-20e5896b3be1,6|4|0,34,0.9705882352941176
R1_COMPATIBLE,6937eac0-58f8-8333-8b99-4e70c64d575a,7|5|0,6,0.16666666666666666
R1_COMPATIBLE,6937eda0-34dc-8328-a7b7-0ec0976eb833,7|5|0,6,0.8333333333333334
R1_COMPATIBLE,693d0da2-8304-832f-81b1-c3abcf628232,5|4|0,39,0.8205128205128205
R1_COMPATIBLE,69416cbc-ab28-832e-b813-346ada0aadbb,5|2|0,104,0.9615384615384616
R1_COMPATIBLE,694722a1-c764-8327-9fe3-6dccc1bb5f13,7|6|1,35,0.4857142857142857
R1_COMPATIBLE,69496114-d678-832b-b342-eb9ba8686bec,6|6|0,13,1.0
R1_COMPATIBLE,694f44f9-9448-8330-861e-1d95c09325d6,7|7|1,9,0.2222222222222222
R1_COMPATIBLE,69508cb5-801c-832a-862f-cda4c06c06f4,6|6|1,13,0.15384615384615385
