POPULATION,MEASURE,REFERENCE,THRESHOLD,N_EXTERNAL,MATCHES,FRACTION,CI_LOW,CI_HIGH,ONE_IN,LINEAGE_ACTUAL_COVERAGE
PRIMARY_ENGLISH_NO_SYSTEM_HIT,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_90PCT_TOLERANCE,,13408,3,0.00022374701670644392,4.6144390988764894e-05,0.0006537431148404172,4469.333333333333,0.8029197080291971
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MEDIAN_Z,LINEAGE_95PCT_TOLERANCE,-3.5275802619295638,13408,518,0.038633651551312646,0.03543476994431933,0.042034698776174335,25.884169884169886,0.948905109489051
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MIN_Z,LINEAGE_95PCT_TOLERANCE,-6.236400940840964,13408,2312,0.1724343675417661,0.16607457940664944,0.17893665089822614,5.799307958477509,0.948905109489051
PRIMARY_ENGLISH_NO_SYSTEM_HIT,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_95PCT_TOLERANCE,,13408,151,0.011261933174224343,0.009545204378794707,0.01319541487933688,88.79470198675497,0.9051094890510949
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q50,2.1299768577726845,29093,1547,0.05317430309696491,0.05062350214570607,0.05581478779001515,18.806076276664513,
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q75,2.5324463635735537,29093,1219,0.04190011342934727,0.039626451383061354,0.04426581797971191,23.866283839212468,
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q90,2.934697230047748,29093,952,0.03272264805967071,0.030707892736311734,0.03483140502076313,30.55987394957983,
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q95,3.4632221631504088,29093,726,0.024954456398446363,0.02319240881980302,0.02681221500631494,40.07300275482093,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q50,6.392869088564129,29093,1935,0.06651084453304919,0.06367383164592214,0.06943478897361534,15.03514211886305,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q75,8.577594544816272,29093,1162,0.03994087924930396,0.037719588909974656,0.04225462659234518,25.03700516351119,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q90,11.165009409464217,29093,646,0.02220465404049084,0.020542143321173288,0.023963499914944005,45.03560371517028,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q95,11.944496220327633,29093,548,0.018836146151995324,0.017305008280765456,0.020464405187433535,53.089416058394164,
