condition,RETURN,RECURRENCE,GENERATIVE_REUSE,META_CONTROL,PRESERVATION,COMPRESSION,TRANSFORMATION,CAUSAL
BASE_FOREST,0.020833333333333332,0.0,0.0125,1.0166666666666662,2.2125,0.20416666666666675,0.7374999999999999,0.5375000000000001
DIRECT_FOREST_TO_CITY,0.0,0.004166666666666667,0.3416666666666667,1.2166666666666666,1.7333333333333332,1.2083333333333333,1.1,0.5000000000000001
DIRECT_FOREST_TO_CIRCUIT,0.004166666666666667,0.0,0.07916666666666665,3.2666666666666666,2.3875000000000006,1.2166666666666663,2.4916666666666667,0.11666666666666667
DIRECT_FOREST_TO_ORCHESTRA,0.0375,0.008333333333333333,0.22083333333333335,1.4874999999999998,1.7125,0.9666666666666666,1.5958333333333337,0.05
COMPOSE_FOREST_CITY_CIRCUIT,0.0,0.008333333333333333,0.04583333333333334,4.137500000000001,2.3625,1.3124999999999991,4.704166666666667,0.09166666666666665
COMPOSE_FOREST_CIRCUIT_ORCHESTRA,0.008333333333333333,0.004166666666666667,0.07499999999999998,1.4083333333333332,2.7416666666666663,1.3874999999999997,1.85,0.16250000000000003
INVERSE_FOREST_CITY_FOREST,0.43333333333333324,0.016666666666666666,0.0958333333333333,0.4166666666666667,2.391666666666668,0.4749999999999998,0.7416666666666665,0.34166666666666656
INVERSE_FOREST_CIRCUIT_FOREST,0.34166666666666645,0.0125,0.05,0.25833333333333336,2.3791666666666664,0.47916666666666696,0.5583333333333333,0.3416666666666667
DAMAGED_FOREST_TO_CITY,0.0,0.0,0.04583333333333334,2.987500000000001,2.0291666666666672,1.2124999999999997,2.529166666666667,0.5083333333333333
DAMAGED_FOREST_TO_CIRCUIT,0.004166666666666667,0.0,0.016666666666666666,3.708333333333333,1.9291666666666667,1.2249999999999996,5.083333333333335,0.4
SHUFFLED_FOREST_TO_CITY,0.004166666666666667,0.0,0.125,2.0750000000000006,2.2666666666666666,1.3041666666666663,2.2583333333333337,0.23333333333333325
SHUFFLED_FOREST_TO_CIRCUIT,0.0,0.0,0.05833333333333333,3.520833333333333,2.391666666666667,1.2708333333333333,3.437499999999999,0.1291666666666667
