WF3_MODULE,ENTITY_TYPE,ENTITY_ID,CANONICAL_ID,CANONICAL_NAME,CANONICAL_FILE,CANONICAL_RELATIVE_PATH,DESTINATION_BUCKET,SIZE_BYTES,SHA256,SOURCE_AUTHORITY
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\08_PACKAGE\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/08_PACKAGE/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_LMARENA_BLIND_R1.zip,08_PACKAGE,11798185,38d932a063b7108cc775bd7d191140845d9b39a165da17cc156b0dfc11495828,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,09_FREEZE,1554,b3e4d7486917fc1afee85eca42adbb53c5d84c538b0a9b6ab20a965a202d3dcd,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_BR2_LMARENA_MATCHED_CONTROL_COMPLETE_V2.zip,09_FREEZE,312923719,a5f8a42526cc8fb75b72987a3d822b4b680b3e2c5612fbe2fc1ec09243d89626,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip,09_FREEZE,382917,54aedbc3c4ce4a44f96495f9af16a0caeeb6233bd9ea7c110e5abc286d74d9a3,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/01_FROZEN_EVIDENCE_ARCHIVES/F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,09_FREEZE,1081086,bf8696cefceb4d923244553dedd6f87204b53376d2b2c39470599ae624d2c1a1,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\05_F2_FROZEN_PREOPEN_SPEC.md,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/05_F2_FROZEN_PREOPEN_SPEC.md,09_FREEZE,3214,bec6e0520dba4e3e5cd0be53cdf021bb4d1d8c946ad54faf0c7415291c26d2dc,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\11_LOCAL_FREEZE_CORRECTION.txt,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/11_LOCAL_FREEZE_CORRECTION.txt,09_FREEZE,720,8323c977ee6692338ab3d814f9fbb3d5fac433409ea824017abadb90fa40f784,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\09_FREEZE\SOURCE\12_RAW_CORPUS_SHA256_MANIFEST.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/09_FREEZE/SOURCE/12_RAW_CORPUS_SHA256_MANIFEST.csv,09_FREEZE,4096,7f0f41d42edabae3bb1633d1ae9bfc08332fbc16abeac15df5b0c04cbce3e1cf,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\UNCLASSIFIED_SOURCE\04_F1_CLAIM_LADDER.csv,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/UNCLASSIFIED_SOURCE/04_F1_CLAIM_LADDER.csv,UNCLASSIFIED,677,08b7c5a31b6500c7dcf8e22bbdb700ddb30c5d8c4262122e6594617d1dbab6fe,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\UNCLASSIFIED_SOURCE\06_F2_AUTHORIZATION.txt,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/UNCLASSIFIED_SOURCE/06_F2_AUTHORIZATION.txt,UNCLASSIFIED,388,32d06ee6f64ad9e434e429086af407a27c9d88ca3615a596e15834d1d9d5be87,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final\00_CONTROL\UNCLASSIFIED_SOURCE\07_CHAIN_OF_CUSTODY.json,021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final/00_CONTROL/UNCLASSIFIED_SOURCE/07_CHAIN_OF_CUSTODY.json,UNCLASSIFIED,2775,794b99ead0640b859f64874d00a5234d1b7a50f5b27b851c0220bd058f375efd,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\00_CONTROL\SOURCE\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,025_EXP-011__F2_External_Population_Rarity/00_CONTROL/SOURCE/02_INPUT_MANIFEST/WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,00_CONTROL,888,1d9eeb274af09346331d31a84149197a7937b5de76e3d2fc4c693f3ccec0b0fc,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\00_CONTROL\SOURCE\F2_EXTERNAL_POPULATION_RARITY_COMPLETE_PACKAGE\FULL_PACKAGE_MANIFEST.csv,025_EXP-011__F2_External_Population_Rarity/00_CONTROL/SOURCE/F2_EXTERNAL_POPULATION_RARITY_COMPLETE_PACKAGE/FULL_PACKAGE_MANIFEST.csv,00_CONTROL,175,162c1908a45fc3361f7e92f93b4b9d7208a54b786e6e839462953eca8797f7d0,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\00_CONTROL\SOURCE\README.txt,025_EXP-011__F2_External_Population_Rarity/00_CONTROL/SOURCE/README.txt,00_CONTROL,1013,91287afecc1a2f314fac6056ad926dbee1fa0d03962460a5f4886edf086de498,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\02_INPUTS\SOURCE\11_F1_REFERENCES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,025_EXP-011__F2_External_Population_Rarity/02_INPUTS/SOURCE/11_F1_REFERENCES/F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,02_INPUTS,2110934,159b6a0df406073be5bdf9b242cdd45fde0d7b6281252cef813b88cc8971c364,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\03_RUNNER\SOURCE\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,025_EXP-011__F2_External_Population_Rarity/03_RUNNER/SOURCE/01_FROZEN_IMPLEMENTATION/RUN_F2_A_WILDCHAT_RARITY.py,03_RUNNER,33909,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\03_RUNNER\SOURCE\RUN_F2_A_WILDCHAT_RARITY.ps1,025_EXP-011__F2_External_Population_Rarity/03_RUNNER/SOURCE/RUN_F2_A_WILDCHAT_RARITY.ps1,03_RUNNER,2280,ff93f4d4fb6e0b26e27ca1adaade3df1cad2be1290b02fb3bf68e53a9c9f9cc0,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\03_RUNNER\SOURCE\RUN_F2_A_WILDCHAT_RARITY.py,025_EXP-011__F2_External_Population_Rarity/03_RUNNER/SOURCE/RUN_F2_A_WILDCHAT_RARITY.py,03_RUNNER,33909,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\06_RARITY_TAILS\EXTERNAL_SCORE_QUANTILES.csv,025_EXP-011__F2_External_Population_Rarity/05_OUTPUTS/SOURCE/06_RARITY_TAILS/EXTERNAL_SCORE_QUANTILES.csv,05_OUTPUTS,924,d774097abcb2824fb2d2faa844b7e8f9c383a79c4338aa8f8497f079a05a10aa,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\06_RARITY_TAILS\LINEAGE_EXTERNAL_PERCENTILE_SUMMARY.csv,025_EXP-011__F2_External_Population_Rarity/05_OUTPUTS/SOURCE/06_RARITY_TAILS/LINEAGE_EXTERNAL_PERCENTILE_SUMMARY.csv,05_OUTPUTS,213,cafbeffea87e19256960f8f251956227673a125dee14c9a037c10b2107b0b4a2,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\07_NUISANCE_CONTROL\CEM_CONDITIONAL_RESULTS.csv,025_EXP-011__F2_External_Population_Rarity/05_OUTPUTS/SOURCE/07_NUISANCE_CONTROL/CEM_CONDITIONAL_RESULTS.csv,05_OUTPUTS,446,380fd1bb4751cadf7cd9d49714572b6dba2355a5bfb83d82068999b3eadb5897,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\07_NUISANCE_CONTROL\CEM_PER_LINEAGE_RESULTS.csv,025_EXP-011__F2_External_Population_Rarity/05_OUTPUTS/SOURCE/07_NUISANCE_CONTROL/CEM_PER_LINEAGE_RESULTS.csv,05_OUTPUTS,10449,d679663902806fa62c302ac0285fff2021214f3e86cd4e9fe58d10de91e09f92,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\10_FINAL_MANIFEST\F2_A_SUMMARY.json,025_EXP-011__F2_External_Population_Rarity/05_OUTPUTS/SOURCE/10_FINAL_MANIFEST/F2_A_SUMMARY.json,05_OUTPUTS,6403,375704f8693c7e37647ca381b7a20f92c623d2c80ab17cf5c4c5646adbdbcd00,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\10_FINAL_MANIFEST\F2_A_SUMMARY.txt,025_EXP-011__F2_External_Population_Rarity/05_OUTPUTS/SOURCE/10_FINAL_MANIFEST/F2_A_SUMMARY.txt,05_OUTPUTS,1715,fe8e6a43751e84376a87fc927dd8de2027dc199591e05a92d6bbd42dc7e122f0,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\08_PACKAGE\SOURCE\F2_A_WILDCHAT_RARITY_RUNNER_ORIGINAL.zip,025_EXP-011__F2_External_Population_Rarity/08_PACKAGE/SOURCE/F2_A_WILDCHAT_RARITY_RUNNER_ORIGINAL.zip,08_PACKAGE,16705,b0d116d6d12afe0a8eb7b22f45bd98a40844ee601a73716e0fdd103b4704af62,PHASE8H_FROZEN_CANONICAL_CHAIN
V16_POPULATION_SCALE_EXTERNAL_CONFIRMATION,EXPERIMENT,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\09_FREEZE\SOURCE\01_FROZEN_IMPLEMENTATION\F2_FROZEN_IMPLEMENTATION_SPEC.json,025_EXP-011__F2_External_Population_Rarity/09_FREEZE/SOURCE/01_FROZEN_IMPLEMENTATION/F2_FROZEN_IMPLEMENTATION_SPEC.json,09_FREEZE,2286,d3c84d4bac32323c28cfc11ac5028c27a81c3d7c0a6ad08dad95e11edb4d8565,PHASE8H_FROZEN_CANONICAL_CHAIN
