condition,N,mean_kernel_edges,median_kernel_edges,sd_kernel_edges,ge4,ge4_rate,ge5,ge5_rate,ge6,ge6_rate,full7,full7_rate
RSOS_BLIND_PARTIAL_TOPOLOGY,1000,1.196,1.0,1.1178479324129915,45,0.045,3,0.003,0,0.0,0,0.0
TOPOLOGY_SHUFFLED,1000,1.336,1.0,1.484285686786745,91,0.091,50,0.05,7,0.007,6,0.006
SAME_INGREDIENTS_DECOUPLED,1000,1.208,1.0,1.1084836489547332,16,0.016,9,0.009,0,0.0,0,0.0
K6_RECONSTRUCTION_ABLATION,1000,1.118,1.0,1.0286282127182784,8,0.008,0,0.0,0,0.0,0,0.0
GENERIC_COMPLEX_CONTROL,1000,0.688,0.0,0.924476067835182,4,0.004,0,0.0,0,0.0,0,0.0
