metric,numerator,denominator,rate
structural_adoption_next_turn,1958,44494,0.04400593338427653
mutated_adoption_next_turn,1830,44494,0.04112914100777633
compressed_exact_adoption,203,1958,0.10367722165474974
lexical_reuse,9685,160588,0.06030961217525593
reverse_rate,2092,44628,0.04687640046607511
shuffle_null_mean,,10000,0.00925883332704074
empirical_p,,10000,0.00019998000199980003
standardized_effect,,,6.8995246661669976
