SCOPE,PARTITION,CONTROL,N,AUTH_ADVANTAGE,P,HOLM_P,PASS
POOLED,ALL,DEGREE_MATCHED,76,0.3428896852664179,4.999750012499375e-05,0.00024998750062496874,True
POOLED,ALL,COMPLEXITY_MATCHED,76,0.036252028860710474,0.00014999250037498125,0.0002999850007499625,True
POOLED,ALL,TOPOLOGY_MATCHED,76,0.005282893581158504,0.043447827608619566,0.043447827608619566,True
POOLED,ALL,FORWARD,76,0.7352954817790672,4.999750012499375e-05,0.00024998750062496874,True
POOLED,ALL,RANDOM,76,0.6387785170681939,4.999750012499375e-05,0.00024998750062496874,True
POOLED,DEVELOPMENT,DEGREE_MATCHED,38,0.3087135917898366,4.999750012499375e-05,0.00024998750062496874,True
POOLED,DEVELOPMENT,COMPLEXITY_MATCHED,38,0.03526772501852163,0.008049597520123995,0.01609919504024799,True
POOLED,DEVELOPMENT,TOPOLOGY_MATCHED,38,0.004526582073305299,0.27163641817909107,0.27163641817909107,False
POOLED,DEVELOPMENT,FORWARD,38,0.7375544875045031,4.999750012499375e-05,0.00024998750062496874,True
POOLED,DEVELOPMENT,RANDOM,38,0.6449961141582533,4.999750012499375e-05,0.00024998750062496874,True
POOLED,CONFIRMATION,DEGREE_MATCHED,19,0.2989854602832504,4.999750012499375e-05,0.00024998750062496874,True
POOLED,CONFIRMATION,COMPLEXITY_MATCHED,19,0.0323629427234595,0.03309834508274586,0.06619669016549172,False
POOLED,CONFIRMATION,TOPOLOGY_MATCHED,19,0.004357212764599923,0.2546872656367182,0.2546872656367182,False
POOLED,CONFIRMATION,FORWARD,19,0.6810484526895295,4.999750012499375e-05,0.00024998750062496874,True
POOLED,CONFIRMATION,RANDOM,19,0.614139922459513,4.999750012499375e-05,0.00024998750062496874,True
POOLED,FINAL_HOLDOUT,DEGREE_MATCHED,19,0.4551460972027481,4.999750012499375e-05,0.00024998750062496874,True
POOLED,FINAL_HOLDOUT,COMPLEXITY_MATCHED,19,0.04210972268233914,0.05964701764911754,0.11929403529823508,False
POOLED,FINAL_HOLDOUT,TOPOLOGY_MATCHED,19,0.0077211974134234924,0.21383930803459827,0.21383930803459827,False
POOLED,FINAL_HOLDOUT,FORWARD,19,0.7850244994177334,4.999750012499375e-05,0.00024998750062496874,True
POOLED,FINAL_HOLDOUT,RANDOM,19,0.650981917496756,4.999750012499375e-05,0.00024998750062496874,True
N1_COHERENT,ALL,DEGREE_MATCHED,76,0.2303110345507288,4.999750012499375e-05,0.00024998750062496874,True
N1_COHERENT,ALL,COMPLEXITY_MATCHED,76,0.02345902917494196,0.04209789510524474,0.08419579021048948,False
N1_COHERENT,ALL,TOPOLOGY_MATCHED,76,0.005096412517041428,0.11404429778511074,0.11404429778511074,False
N1_COHERENT,ALL,FORWARD,76,0.38110251427016817,4.999750012499375e-05,0.00024998750062496874,True
N1_COHERENT,ALL,RANDOM,76,0.42277971252671387,4.999750012499375e-05,0.00024998750062496874,True
