condition,combo_index,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,seed,rep,response_id,response_sha256,latency_seconds,OUTPUT_TOKENS,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,RETURN,RECURRENCE,GENERATIVE_REUSE,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY,CONTROL,RELATIONAL,TOTAL
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,11,2,resp_0a2c6cbd531f1b44006aa31bf1d7d887d29e5294a9aa8e9743,ce9ab9a5b481bd2c652dd4efb16d12aa36fa21980606d6667becadd5a65b1d35,2.0514869689941406,106.0,92.0,5.0,0.8043478260869565,0.0,0.0,0.0,1.0,6.0,1.0,6.0,2.0,3.0,11.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,3.0,-1,12,0,resp_0c4d53cb6ec43a0a006aa31bf1fb9087d28c71e3c438e577e0,d06ab569a34a61baf13f62e0cdfe97a0322b34e40fd735956bb9da0322aac601,2.140409469604492,91.0,79.0,3.0,0.7848101265822784,0.0,0.0,0.0,2.0,4.0,1.0,4.0,3.0,5.0,12.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,0.0,-1,12,1,resp_01f6f6e29ad7b8d9006aa31bf281c087d29ddfd92fa348c949,ee504b4b4f2f8db4e52e2a4eded70a9337e7afb8283f965e3376d36fdba03a76,2.0157053470611572,61.0,52.0,3.0,0.8653846153846154,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,3.0,-1,12,2,resp_055163e516ee1b5d006aa31bf3286487d28eabc4b881cad7ba,cb7d9fd89b563e1db642c059f081d524ed4b333fde73745580d627d351baecca,3.0935099124908447,132.0,116.0,7.0,0.6810344827586207,0.0,0.0,0.0,7.0,3.0,0.0,3.0,1.0,10.0,14.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,2.0,-1,13,0,resp_049216812d44362e006aa31bf319e487d2bc6032ef7c59d14b,e1169cb5e6a0d8a04b211e098868a293aaa3b34d55c0f0285b64dd6ca7de50db,2.257342576980591,90.0,78.0,5.0,0.7948717948717948,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,4.0,10.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,1.0,-1,13,1,resp_03b9bfa71509caae006aa31bf3d16087d2ad83819246644265,64da556972aee29ac55762669a4a251d2be6ec954bdadbe50997f2408b696af6,2.018444299697876,76.0,62.0,3.0,0.8709677419354839,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,3.0,4.0,-1,13,2,resp_0e962f50bdcc04a9006aa31bf41dc087d29ce4a5379d9c5589,fe16b377a1d6c79da91f6056c8b88678caed877be224387ac61a921ef51bc22d,3.091736078262329,122.0,105.0,6.0,0.7142857142857143,0.0,0.0,0.0,2.0,4.0,1.0,4.0,4.0,6.0,14.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,3.0,-1,14,0,resp_0f52e7d688285b1a006aa31bf3e7f487d2908dd674bd940c5e,643a839b981b7e94a152da042b9b4d6da204621089571246188e6efbd19129d7,2.5013060569763184,134.0,120.0,5.0,0.6833333333333333,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,5.0,9.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,6.0,-1,14,1,resp_0dbc1959146d63dc006aa31bf3ed8c87d29f615446cb16b53d,4a86582e9772c977c480537e9e5fe946dd19ce683125baea6814ba2de6bca9c5,2.2437098026275635,124.0,109.0,5.0,0.7064220183486238,0.0,0.0,0.0,2.0,6.0,1.0,6.0,2.0,8.0,16.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,3.0,-1,14,2,resp_0392687f9fa18765006aa31bf40d3087d2bd2c4d1acffd5ff4,13cc4016d520b556411eb4e3d717b1b1f73a4a6027f700d0c978b2fd737a9ec7,2.497281551361084,109.0,94.0,6.0,0.7340425531914894,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,5.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,2.0,-1,15,0,resp_0f1b7f2ad141bc5f006aa31bf41d8c87d29fcf0ccdecc1a825,86a5250b257c64eed86bd2a1cf2f56b05a4f1aa2d2c4395b0a75109df8e853cc,1.73441481590271,61.0,51.0,2.0,0.8431372549019608,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,8.0
D+_O+_M+_P+_T-,30,False,1,1,2.0,4.0,-1,15,1,resp_0bfa6abd61514a68006aa31bf473dc87d2b48d072ffdbe9ade,22696ed267102db041424a575d562e1fae40eab8894e6f6902f1ad6690798732,2.6625237464904785,117.0,104.0,5.0,0.7307692307692307,0.0,0.0,0.0,1.0,3.0,2.0,3.0,4.0,5.0,12.0
D+_O+_M+_P+_T-,30,False,1,1,1.0,2.0,-1,15,2,resp_08d6944333de9149006aa31bf48e6487d28eab3f2d1147fd33,3e1022361ae93e41de9e359dc89137c1640d73a927d6828ed1571c28c9cc5ef3,2.1539740562438965,73.0,62.0,3.0,0.8709677419354839,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0
