token_bin_start,token_bin_end,N,mean_score,median_score,p95_score
0,249,12070,14.870125015907208,5.7408775,60.766764
250,499,14478,34.4698626363448,28.639194,86.181935
500,749,6431,44.38204198320634,40.006922,96.365546
750,999,2283,51.76719287647832,48.787768,103.045977
1000,1249,821,50.83507329719854,49.350649,103.193681
1250,1499,228,39.999851442982454,36.239207,106.118697
1500,1749,54,31.70522927777778,28.673406999999997,77.95396
1750,1999,11,46.295967272727275,49.482315,82.855706
