model_slug,N,mean_score,median_score,p95_score,p99_score,max_score
,163,11.202580089868922,7.380952380952381,41.03089968381719,61.285714285714285,74.6762349799733
gpt-4,1253,5.377067082407936,0.5,23.073593073593074,41.11111111111111,82.63736263736264
gpt-4-1-mini,423,50.141993986726604,40.95695364238411,120.6480970766685,159.4381372858194,180.93877551020407
gpt-4-5,5,51.039467759379264,66.37662337662337,70.90771175726927,70.90771175726927,70.90771175726927
gpt-4-gizmo,28,3.350069992690058,0.25,15.564220183486238,21.447876447876453,21.447876447876453
gpt-4-plugins,20,9.639677880590458,8.800236848666167,21.09742976688583,23.093676814988292,23.093676814988292
gpt-4o,17439,32.05386395744728,24.41500399042298,90.19933554817274,119.55404719614313,226.20558375634516
gpt-4o-mini,41,6.432927824813888,0.0,36.73104549082203,49.009966777408636,49.009966777408636
gpt-5,3385,32.12236396403749,24.283628779979143,89.14670658682634,132.93825222396651,260.25129087779686
gpt-5-1-instant,2834,42.034709961529,40.34007615609533,92.21039494934664,122.89186507936506,164.5439125518281
gpt-5-2,1174,34.209493772206045,32.764224024082694,68.97563676633445,83.97660818713449,107.3983100805659
gpt-5-2-instant,836,31.09461433156088,29.541105239706035,61.840159840159835,79.53752181500872,116.88345217605114
gpt-5-2-thinking,162,46.84291691630124,45.98878646082789,80.10182626456806,93.46922731356693,105.90778097982708
gpt-5-3,20,48.99220702883252,49.28713974190747,69.04388212684178,73.25652841781874,73.25652841781874
gpt-5-3-instant,1198,52.53917062640833,52.43975638097528,99.33576518493383,143.5373066424022,353.19255839217817
gpt-5-5-instant,573,42.835707522071765,39.553280053280055,102.92521845153425,127.92170644001305,169.64285714285714
gpt-5-auto-thinking,14,60.2324505288256,56.98001435165432,89.95586380832282,120.73918197984588,120.73918197984588
gpt-5-instant,4184,30.770485109527858,26.520664118490203,72.2130380536494,98.79939209726443,181.8103448275862
gpt-5-t-mini,21,21.914445205171837,22.666169339798586,43.27716040356777,46.5282078901306,46.5282078901306
gpt-5-thinking,324,36.492941320382016,35.99468926564706,73.43717603151565,85.81759149940967,106.88207828333002
o1-preview,9,9.851461649201308,7.036544850498339,24.82919254658385,24.82919254658385,24.82919254658385
o3,6,35.77640394661484,39.566115664594676,59.24133148404994,59.24133148404994,59.24133148404994
o4-mini,33,28.6610670778145,28.094552929085303,49.26975405546835,51.77292576419213,51.77292576419213
research,7,10.407286740403164,4.766355140186916,27.238095238095234,27.238095238095234,27.238095238095234
text-davinci-002-render-sha,2233,5.837259052259562,0.5,24.69582664526485,55.71872227151731,388.76190476190476
